PassengerId,Survived
535,0
536,0
537,1
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,1
548,1
549,0
550,0
551,1
552,0
553,1
554,0
555,1
556,0
557,0
558,1
559,0
560,0
561,1
562,0
563,0
564,1
565,1
566,0
567,0
568,0
569,1
570,0
571,0
572,0
573,1
574,1
575,1
576,0
577,1
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,1
588,1
589,0
590,1
591,0
592,0
593,0
594,1
595,0
596,0
597,0
598,1
599,1
600,1
601,0
602,1
603,0
604,0
605,0
606,0
607,0
608,0
609,1
610,1
611,0
612,1
613,1
614,1
615,0
616,1
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,1
625,0
626,1
627,0
628,0
629,0
630,1
631,1
632,0
633,0
634,0
635,0
636,1
637,0
638,1
639,0
640,1
641,0
642,1
643,0
644,0
645,1
646,1
647,0
648,1
649,1
650,0
651,1
652,1
653,0
654,1
655,0
656,0
657,1
658,0
659,0
660,1
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,1
672,0
673,1
674,0
675,0
676,0
677,0
678,1
679,0
680,1
681,0
682,1
683,0
684,0
685,1
686,1
687,0
688,1
689,0
690,1
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,1
699,1
700,0
701,1
702,0
703,0
704,0
705,0
706,0
707,0
708,1
709,0
710,1
711,0
712,1
